"CellLineCombo","unique_sv_genes","intergenic_sv","intragenic_sv","de_intergenic_sv","de_intragenic_sv"
"A4573",403,186,217,20,22
"RDES",414,177,237,22,26
"CHLA10-CHLA9",396,174,222,21,26
"TC71",471,201,270,21,43
"A4573-PDX305",90,45,45,3,6
"PDX305",441,176,265,20,28
"A4573-A673-CHLA10-PDX305-RDES-SKNMC-TC32-TC71",208,95,113,11,18
"A4573-A673-CHLA10-CHLA9-RDES-SKNMC-TC32-TC71",333,155,178,24,33
"A673-TC32",131,48,83,6,4
"A673-CHLA10-CHLA9-PDX305-RDES-SKNMC-TC32-TC71",484,235,249,28,23
"A673-CHLA10-CHLA9-PDX305-RDES-TC32-TC71",132,56,76,5,11
"A4573-CHLA10-CHLA9-PDX305-RDES-SKNMC-TC32-TC71",428,200,228,39,40
"PDX305-TC32",95,41,54,8,9
"TC32",401,180,221,11,26
"A4573-A673-CHLA10-CHLA9-PDX305-RDES-TC32-TC71",469,208,261,55,48
"A4573-A673-PDX305-RDES-SKNMC-TC32-TC71",120,57,63,2,9
"A4573-A673-CHLA10-CHLA9-SKNMC-TC32-TC71",90,42,48,9,4
"CHLA10-CHLA9-PDX305-RDES-SKNMC-TC32-TC71",92,41,51,2,9
"A673",150,73,77,8,13
"A4573-A673-CHLA10-CHLA9-RDES-SKNMC-TC32",94,41,53,7,9
"SKNMC",405,176,229,32,33
"A4573-A673-CHLA10-CHLA9-PDX305-SKNMC-TC32-TC71",448,202,246,29,45
"A4573-TC71",87,38,49,7,5
"A4573-A673-CHLA10-CHLA9-PDX305-RDES-SKNMC-TC32",372,167,205,32,39
"A673-CHLA10-CHLA9-RDES-SKNMC-TC32-TC71",88,32,56,4,4
"A673-CHLA10-CHLA9-PDX305-SKNMC-TC32-TC71",96,38,58,8,7
"A4573-A673-CHLA10-CHLA9-RDES-TC32-TC71",98,46,52,4,9
"PDX305-RDES",95,35,60,4,3
"A4573-CHLA10-CHLA9",102,47,55,2,6
"A4573-A673-CHLA10-CHLA9-PDX305-SKNMC-TC32",107,48,59,4,13
"A4573-CHLA10-CHLA9-PDX305-RDES-TC32-TC71",113,54,59,9,11
"A4573-CHLA10-CHLA9-PDX305-SKNMC-TC32-TC71",103,39,64,4,5
"CHLA10-CHLA9-TC32",94,44,50,2,3
"A4573-CHLA10-CHLA9-PDX305-RDES-SKNMC-TC32",88,43,45,5,10
"A4573-A673-CHLA10-CHLA9-PDX305-RDES-TC32",95,43,52,4,8
"A673-CHLA10-TC32",122,57,65,4,5
"A673-CHLA10-CHLA9-TC32",87,38,49,3,3
"A4573-A673-CHLA10-CHLA9-PDX305-TC32-TC71",110,56,54,8,7
"CHLA10-CHLA9-RDES",91,44,47,1,2
